"text","twitterUrl","tweet_id","cleaned_text","sentiment"
"FIRE ALERT UPDATE: Crews have stopped forward progress on Incident 284 about miles east of Sunriver, which burned about acres; also have updates on the Bend Parkway and Redmond brush fires sparked by a train and fires in NW Madras. ","https://twitter.com/KTVZ/status/1805434657682436565",1540,"fire alert update crews stopped forward progress incident miles east sunriver burned acres also updates bend parkway redmond brush fires sparked train fires nw madras ",-2
"@madras_aale Smh they make that guy look like Tamil","https://twitter.com/AdnynSabir/status/1805425880480858319",1541,"madrasaale smh make guy look like tamil",2
"@Madras_Guindy @RjAadhi2point0 He surely is not an illegal immigrant. But the job he was doing at the petrol bunk is definitely illegal. Most probably he must have been a student trying to make money on the side. But working in such petrol bunks is very d","https://twitter.com/iyampettai_/status/1805419731500859596",1542,"madrasguindy rjaadhipoint surely illegal immigrant job petrol bunk definitely illegal probably must student trying make money side working petrol bunks d",-6
"Mount Road, Madras, India 1950 ","https://twitter.com/ArasiyalKadai/status/1805415206941786455",1543,"mount road madras india ",NA
"Discover the vibrant Mexican cuisine scene in Madras, Oregon! From traditional dishes to local innovations, explore this gastronomic gem in Central Oregon. #MadrasOregon #MexicanCuisine #FoodieDestinations ","https://twitter.com/D_DodsonRealty/status/1805405578765713662",1544,"discover vibrant mexican cuisine scene madras oregon traditional dishes local innovations explore gastronomic gem central oregon madrasoregon mexicancuisine foodiedestinations ",3
"Here's our @YourOregonNews Festival Fits photo contest winner—in jigsaw form! ","https://twitter.com/MadrasPioneer/status/1805399261036659000",1545,"heres youroregonnews festival fits photo contest winner— jigsaw form ",4
"@styloshka SN’s done before, like in “Madras,” but that’s much more explicitly purposed and diegetic as oppari, vs Karnan which does so much cool shit with by making the song a hybrid in context of the film","https://twitter.com/MxShantastic/status/1805398390223831338",1546,"styloshka sn’s done like “madras” ’s much explicitly purposed diegetic oppari vs karnan much cool shit making song hybrid context film",-1
"FIRE ALERT: Another warm early summer Monday had firefighters scrambling to put out several new fires around the region, from a small blaze in the woods east of Sunriver to two along railroad tracks in Bend and Redmond and three fires in northwest Madras. ","https://twitter.com/KTVZ/status/1805387937342701744",1547,"fire alert another warm early summer monday firefighters scrambling put several new fires around region small blaze woods east sunriver two along railroad tracks bend redmond three fires northwest madras ",-2
"Indian Southern Railway WP class -- No. 7723 at the Madras Basin Bridge Locomotive Depot, readied to take the Yercaud Express from Madras (Chennai) to Erode in Tamil Nadu State on 21st February 1978. 📷George Woods – Flickr. (https://t.co/sNZhv65B0R) ","https://twitter.com/VicAlbert11/status/1805385739074683129",1548,"indian southern railway wp class madras basin bridge locomotive depot readied take yercaud express madras chennai erode tamil nadu state st february 📷george woods – flickr httpstcosnzhvbr ",NA
"@Aku_700 @EuropeInvasionn So here a feature of expansionist Islam concides with PTSD the madras Islamic schools in Africa teach by copying like one book reciting pass or fail get a stick to beat others or expect to be beaten","https://twitter.com/Kevroo/status/1805381940721467522",1549,"aku europeinvasionn feature expansionist islam concides ptsd madras islamic schools africa teach copying like one book reciting pass fail get stick beat others expect beaten",-2
"@herotimeszero @rkellet1951 Is that suit genuine bleeding Madras?","https://twitter.com/ZacherleSmith/status/1805378471033716837",1550,"herotimeszero rkellet suit genuine bleeding madras",NA
"https://t.co/3Ml80rbcnY","https://twitter.com/MadrasPioneer/status/1805374456333771238",1551,"httpstcomlrbcny",NA
"PMK 🤣","https://twitter.com/SriramMadras/status/1805373847933530614",1552,"pmk 🤣",NA
"Adi 👇","https://twitter.com/SriramMadras/status/1805373293874282871",1553,"adi 👇",NA
"UN / WEF Agenda 2050 A man guards his family from the cannibals during the Madras famine of 1877 at the time of British Raj, India. ","https://twitter.com/ThorsValhalla/status/1805371264489734328",1554,"un wef agenda man guards family cannibals madras famine time british raj india ",NA
"World Cup FINAL vs SUPER EIGHT So called revenge!! 🤮","https://twitter.com/newbatsman/status/1805364479536021850",1555,"world cup final vs super eight called revenge 🤮",1
"@herotimeszero Is Madras jacket man feeding his pet? Suggest they share a big bowl of House Feces for their dessert!","https://twitter.com/kerner_gary/status/1805350177277906961",1556,"herotimeszero madras jacket man feeding pet suggest share big bowl house feces dessert",2
"St. Charles Medical Group seeks a full-time Family Medicine physician to join team of highly qualified professionals in Madras, Oregon. Learn more & apply: #madrasoregon #opportunityknocksoregon #familymedicine #stcharleshealthcaresystem ","https://twitter.com/ORHruralOregon/status/1805327804097249483",1557,"st charles medical group seeks fulltime family medicine physician join team highly qualified professionals madras oregon learn apply madrasoregon opportunityknocksoregon familymedicine stcharleshealthcaresystem ",1
"@RuvKaBhabi For what worth, I'm not saying bad to be political. Elsewhere in the comments I have said that were not for Congress's overwhelming popularity, Madras might have gotten to secede under the Dravidar Kazhagam and my ancestors would","https://twitter.com/DeepakInsights/status/1805325700229906562",1558,"ruvkabhabi worth im saying bad political elsewhere comments said congresss overwhelming popularity madras might gotten secede dravidar kazhagam ancestors ",-1
"@Dinosaur_jai @AnusruthRaot Yevar ivvamannar bro mak metho kalisi state odhu ani yepud nuncho annamu..! Meere madras toh seperate iyi ma state ki ochi.. Kurnool vijaywada bane development cheskunar kanisam telangana festivals ki ma culture ki importance ","https://twitter.com/Telangana_echo/status/1805321863461224693",1559,"dinosaurjai anusruthraot yevar ivvamannar bro mak metho kalisi state odhu ani yepud nuncho annamu meere madras toh seperate iyi ma state ki ochi kurnool vijaywada bane development cheskunar kanisam telangana festivals ki ma culture ki importance ",2
"@Prasad_karoshi_ @H4cker_Madras Bhai Fssa hua hu plz nikal do yrr. Location- RV59+867 Jaipur, Rajasthan. Ek bar bss mera naam msg kr do plz","https://twitter.com/pnkj_gujar/status/1805311092186660916",1560,"prasadkaroshi hckermadras bhai fssa hua hu plz nikal yrr location rv jaipur rajasthan ek bar bss mera naam msg kr plz",NA
"@Prasad_karoshi_ @H4cker_Madras Nhi he yrr , kl se msg kr reha hu","https://twitter.com/pnkj_gujar/status/1805309680496906375",1561,"prasadkaroshi hckermadras nhi yrr kl se msg kr reha hu",NA
